acc,status,balance,transferred,ms,note
abul10000,OK,1000,1000,2907,
abul10001,OK,525,525,2776,
abul10002,OK,525,525,3003,
abul10003,OK,1000,1000,2806,
abul10004,OK,550,550,2929,
abul10005,OK,1500,1500,2919,
abul10006,OK,600,600,2932,
abul10007,OK,575,575,2796,
abul10008,OK,1500,1500,2966,
abul10009,OK,750,750,2868,
abul10010,OK,800,800,2906,
abul10011,OK,550,550,2873,
abul10012,OK,525,525,2897,
abul10013,OK,510,510,2882,
abul10014,OK,1250,1250,2909,
abul10015,OK,800,800,2800,
abul10016,OK,575,575,2988,
abul10017,OK,510,510,2951,
abul10018,OK,650,650,2858,
abul10019,OK,550,550,2864,
abul10020,OK,575,575,2982,
abul10021,OK,1000,1000,2788,
abul10022,OK,1500,1500,3315,
abul10023,OK,750,750,2906,
abul10024,OK,600,600,2891,
abul10025,OK,650,650,2904,
abul10026,OK,1000,1000,2902,
abul10027,OK,1000,1000,2976,
abul10028,OK,1000,1000,2924,
abul10029,OK,750,750,2929,
abul10030,OK,510,510,2962,
abul10031,OK,800,800,2870,
abul10032,OK,510,510,2958,
abul10033,OK,1500,1500,2915,
abul10034,OK,510,510,2912,
abul10035,OK,700,700,2925,
abul10036,OK,800,800,2912,
abul10037,OK,800,800,2797,
abul10038,OK,1000,1000,2946,
abul10039,OK,750,750,2893,
abul10040,OK,700,700,3030,
abul10041,OK,510,510,2967,
abul10042,OK,650,650,2811,
abul10043,OK,600,600,2908,
abul10044,OK,510,510,2869,
abul10045,OK,600,600,3029,
abul10046,OK,800,800,2855,
abul10047,OK,550,550,2905,
abul10048,OK,750,750,2957,
abul10049,OK,700,700,2877,
abul10050,OK,525,525,2911,
abul10051,OK,510,510,2998,
abul10052,OK,600,600,2837,
abul10053,OK,1000,1000,3017,
abul10054,OK,525,525,2944,
abul10055,OK,1000,1000,2930,
abul10056,OK,1250,1250,2881,
abul10057,OK,1000,1000,2410,
abul10058,OK,750,750,2898,
abul10059,OK,700,700,2957,
abul10060,OK,1500,1500,2881,
abul10061,OK,550,550,3003,
abul10062,OK,750,750,2893,
abul10063,OK,510,510,3164,
abul10064,OK,510,510,2859,
abul10065,OK,700,700,2891,
abul10066,OK,575,575,2953,
abul10067,OK,1250,1250,2814,
abul10068,OK,600,600,2952,
abul10069,OK,700,700,3061,
abul10070,OK,750,750,2902,
abul10071,OK,1250,1250,2966,
abul10072,OK,575,575,2881,
abul10073,OK,800,800,2846,
abul10074,OK,525,525,2528,
abul10075,OK,575,575,2952,
abul10076,OK,550,550,2933,
abul10077,OK,800,800,2937,
abul10078,OK,750,750,2890,
abul10079,OK,600,600,2933,
abul10080,OK,800,800,2907,
abul10081,OK,700,700,2986,
abul10082,OK,700,700,2973,
abul10083,OK,650,650,2849,
abul10084,OK,750,750,2904,
abul10085,OK,1500,1500,2938,
abul10086,OK,650,650,2969,
abul10087,OK,1500,1500,2880,
abul10088,OK,800,800,2937,
abul10089,OK,650,650,2932,
abul10090,OK,700,700,2920,
abul10091,OK,1250,1250,2923,
abul10092,OK,700,700,2928,
abul10093,OK,525,525,2838,
abul10094,OK,575,575,2858,
abul10095,OK,510,510,2872,
abul10096,OK,1250,1250,2945,
abul10097,OK,1500,1500,2983,
abul10098,OK,510,510,2942,
abul10099,OK,700,700,2849,
abul10100,OK,600,600,2881,
abul10101,OK,800,800,3372,
abul10102,OK,600,600,2877,
abul10103,OK,1500,1500,2907,
abul10104,OK,1000,1000,2864,
abul10105,OK,1000,1000,2906,
abul10106,OK,700,700,2918,
abul10107,OK,700,700,2913,
abul10108,OK,575,575,2805,
abul10109,OK,650,650,2914,
abul10110,OK,510,510,2845,
abul10111,OK,1500,1500,3228,
abul10112,OK,575,575,2915,
abul10113,OK,700,700,2931,
abul10114,OK,1250,1250,2821,
abul10115,OK,1000,1000,2794,
abul10116,OK,575,575,2990,
abul10117,OK,1000,1000,2889,
abul10118,OK,600,600,2985,
abul10119,OK,700,700,2972,
abul10120,OK,800,800,2895,
abul10121,OK,550,550,2994,
abul10122,OK,575,575,2874,
abul10123,OK,575,575,2846,
abul10124,OK,750,750,2883,
abul10125,OK,550,550,2884,
abul10126,OK,1500,1500,2884,
abul10127,OK,750,750,2872,
abul10128,OK,750,750,2879,
abul10129,OK,600,600,2887,
abul10130,OK,550,550,2997,
abul10131,OK,700,700,2911,
abul10132,OK,1500,1500,2951,
abul10133,OK,1500,1500,2927,
abul10134,OK,1250,1250,2905,
abul10135,OK,800,800,2861,
abul10136,OK,650,650,2875,
abul10137,OK,1500,1500,2810,
abul10138,OK,525,525,2904,
abul10139,OK,650,650,2819,
abul10140,OK,650,650,2881,
abul10141,OK,1000,1000,2826,
abul10142,OK,575,575,2952,
abul10143,OK,510,510,2921,
abul10144,OK,750,750,2923,
abul10145,OK,750,750,2918,
abul10146,OK,600,600,2918,
abul10147,OK,575,575,2919,
abul10148,OK,575,575,2841,
abul10149,OK,600,600,2888,
abul10150,OK,1500,1500,2901,
abul10151,OK,650,650,2881,
abul10152,OK,1000,1000,2956,
abul10153,OK,750,750,2897,
abul10154,OK,700,700,2858,
abul10155,OK,800,800,2943,
abul10156,OK,510,510,2927,
abul10157,OK,600,600,2949,
abul10158,OK,575,575,3017,
abul10159,OK,510,510,2931,
abul10160,OK,550,550,2843,
abul10161,OK,1000,1000,2861,
abul10162,OK,1500,1500,2859,
abul10163,OK,800,800,2976,
abul10164,OK,575,575,2930,
abul10165,OK,700,700,2889,
abul10166,OK,525,525,2829,
abul10167,OK,800,800,2895,
abul10168,OK,1250,1250,2931,
abul10169,OK,1000,1000,2974,
abul10170,OK,650,650,2918,
abul10171,OK,1250,1250,2448,
abul10172,OK,575,575,2802,
abul10173,OK,575,575,2921,
abul10174,OK,550,550,2909,
abul10175,OK,1500,1500,2949,
abul10176,OK,1250,1250,2895,
abul10177,OK,1500,1500,2937,
abul10178,OK,550,550,2949,
abul10179,OK,1500,1500,2863,
abul10180,OK,1250,1250,2910,
abul10181,OK,800,800,2959,
